month,term,value,category,index,x,y,vy,vx,monthNum
2020-09-01,Sudan,0,location,4380,890.3898449304864,148.34945732311292,-0.552289524964812,0.14881217495755678,1598918400000
2020-10-01,Sudan,0,location,4381,903.568234341341,150.35474832060947,-0.56445504278215,-1.043056913900259,1601510400000
2020-11-01,Sudan,0,location,4382,915.4123931213597,145.30267943734464,-0.17780154012578103,0.09495467836071615,1604188800000
2020-12-01,Sudan,0,location,4383,935.6133999970888,173.36460796841564,0.11198273011526398,-0.01907362592345858,1606780800000
2021-01-01,Sudan,0.23,location,4384,941.6755114975422,170.24307816752477,-0.13173106970733472,-0.009456708237996114,1609459200000
2021-02-01,Sudan,0,location,4385,958.5219172858884,133.1927650061704,0.8335516292641854,-0.032083082189918934,1612137600000
2021-03-01,Sudan,0,location,4386,978.2672670993159,152.2463008044517,-0.047505872939195594,-0.0892437892760483,1614556800000
2021-04-01,Sudan,0,location,4387,984.9850876675251,125.10532414511113,0.09783066990570868,0.03648224537528881,1617235200000
2021-05-01,Sudan,0,location,4388,1006.495478649849,155.9630893756034,-0.27557550436834627,0.14801559297302247,1619827200000
2015-01-01,Suicidal ideation,0.33,mental health,4389,-4.332177015786026,153.9861929285949,-0.17915775963324568,-0.4121831537389607,1420070400000
2015-02-01,Suicidal ideation,0.36,mental health,4390,10.593744513433188,136.7110965979708,-0.32186654286270505,0.013373301880952782,1422748800000
2015-03-01,Suicidal ideation,0.32,mental health,4391,31.73289505273323,158.90346760952076,0.04707180859667983,-0.04822753621320284,1425168000000
2015-04-01,Suicidal ideation,0.34,mental health,4392,31.19335124048841,149.5729283518986,0.015434356630048891,0.11096253359257793,1427846400000
2015-05-01,Suicidal ideation,0.65,mental health,4393,47.52033311049812,165.91880660261285,0.14445540357054767,0.018599872669393357,1430438400000
2015-06-01,Suicidal ideation,0,mental health,4394,61.178019853834165,171.99459972272672,0.05777526727371822,-0.011037908163517185,1433116800000
2015-07-01,Suicidal ideation,0.32,mental health,4395,80.90477757090035,140.16605851208286,0.00311773000103732,-0.0450347575702861,1435708800000
2015-08-01,Suicidal ideation,0.32,mental health,4396,92.60427432335253,144.85819404719663,-0.7033487390241709,-0.0878449302700965,1438387200000
2015-09-01,Suicidal ideation,0.31,mental health,4397,102.26659358025525,137.61997169011028,-0.6513609433870273,1.1304115209244368,1441065600000
2015-10-01,Suicidal ideation,0.3,mental health,4398,117.45739776225291,132.4711323114304,0.0051971932527735245,-0.010875841510740359,1443657600000
2015-11-01,Suicidal ideation,0.31,mental health,4399,136.12471395688368,173.82975735382857,-0.1121018673139198,0.22762579517586448,1446336000000
2015-12-01,Suicidal ideation,0.61,mental health,4400,138.73285832409204,141.36176678763792,-0.2657992499100505,-0.3228597724496609,1448928000000
2016-01-01,Suicidal ideation,0.31,mental health,4401,154.71029595058067,167.49854277850972,0.18689293795985407,-0.02352346080860923,1451606400000
2016-02-01,Suicidal ideation,0,mental health,4402,173.17606732167866,131.98509808988854,0.015187726570890292,-0.0033985584595528804,1454284800000
2016-03-01,Suicidal ideation,0.62,mental health,4403,177.7947130239594,131.5261080561452,-0.05384082816286442,0.03452366599507963,1456790400000
2016-04-01,Suicidal ideation,0,mental health,4404,194.1392011515656,146.50675684751783,0.2786356377269313,0.16475842274740887,1459468800000
2016-05-01,Suicidal ideation,0,mental health,4405,210.91528589514175,138.6307911608386,0.6609452589404718,-0.40779532130982243,1462060800000
2016-06-01,Suicidal ideation,0,mental health,4406,224.32708010976864,155.9759732594256,-0.01711702216662408,-1.1450545397212561,1464739200000
2016-07-01,Suicidal ideation,0,mental health,4407,238.43949879306766,167.85101563435572,0.04695853853450287,-0.041401897372530326,1467331200000
2016-08-01,Suicidal ideation,0.34,mental health,4408,250.56068173463913,127.06971786939462,-0.33141616457024947,-0.0067552365069300626,1470009600000
